product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0175HG-AL,Ghế xếp Santorin,445a02a2-b502-454e-b9df-b4c8ac1c0580,f9c3198e-89d7-4499-89d5-7587d9af2d47,FRAME,,,Chân sau,VT-AL-PF-TDB583,AL,PF,TDB583,17,30,,1112,2,Cái,0,,,,,,,,0,2026-07-27T08:40:13.951696+00:00,2026-07-27T08:40:13.951696+00:00,,,"TD-B583, 17x30x1112mm · Nhôm",
CH0188HG-AL,Stacking Armchair,4520d58e-4359-4f87-8fcc-90ddf6b9b874,e8973176-e4ea-48ca-af9b-3be8ebadfe91,PACKAGING,,,Vải mê,VT-BB-VAI-ME,,,,,,,,1,tấm,0,,,,,,,,29,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,x437x449mm · Bao bì,
CH0176HG-AL,Ghế 5 bậc Athos,45a0fb8a-1196-46f8-abf9-b059240e0cff,a0d0c303-46c2-4387-8cce-7c68381c49dd,HARDWARE,,,"Bulon 6x25x13, 7 màu",VT-PK-BULONG-M6X25,,,,,,,,2,con,0,,,,,,,,37,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,"Bulon 6x25x13, 7 màu",
CH0194HG-AL,Amr Chair,45ac1ded-1dcf-4a8d-a2e2-2655f35baf7b,ffa0cb6c-f29a-44dd-82d4-ac6c19ce1194,PACKAGING,,,Dây đai,VT-BB-DAY-DAI,,,,,,,,10.986,m,0,,,,,,,,16,2026-07-27T08:39:57.991261+00:00,2026-07-27T08:39:57.991261+00:00,,,,
ST0185HG-AL,Rhone Aluminium Corner Lounge With Cushion,4622cd7d-8adf-4430-82da-af149f8dc437,f4a7504c-aab3-47fe-ab02-b9e3d806ee1d,FRAME,,,Đỡ tay vịn,VT-AL-HOP-58x58,AL,HOP,,58,58,,608,2,Cái,0,,,,,,,Profile 869,3,2026-07-27T08:39:50.289387+00:00,2026-07-27T08:39:50.289387+00:00,,,Hộp 58x58x608mm · Nhôm,
BN0204HG-AL,Ghế ba bằng nhôm gỗ bạch đàn FSC,463bf902-fc02-4503-bca2-023dd46affee,d7cc4ec4-9b1a-4022-a1a5-f85c8a8c680e,FRAME,,,Tựa đầu trên dưới,VT-AL-VUONG-20x20,AL,VUONG,,20,20,,1670,2,cái,0,,,,,,,,9,2026-07-27T08:40:28.444161+00:00,2026-07-27T08:40:28.444161+00:00,,,Vuông 20x20x1670mm · Vuông,
TB0169HG-AL,Bàn CNKG Paxos,4656220c-666a-4d2b-9e7d-5ef355f89df7,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,HARDWARE,,,Nam châm,VT-PK-NAM-CHAM,,,,,,,,2,con,0,,,,,,,,33,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",46636a67-6f97-4628-8fbc-37afc7ee8e34,ab1d308e-c1ed-413a-962e-fa0665835a57,HARDWARE,,,Pat nhựa gắn sắt,VT-PK-PAT-PAT-NHUA-GAN-SAT,,,,,,,,8,Cái,0,,,,,,,"Bắn Pat sắt, trượt miếng nhựa giữa khe gỗ và khung",26,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,Nhựa,
TB0173HG-AL,"Bàn CNKG 65130x65x74 cm Khung nhôm, gỗ keo, Sơn graphit",467a776f-0963-44ed-abdc-217056d36412,5ee3362a-2b90-44ae-a276-666bd840086f,HARDWARE,,,Ty sắt 650mm,VT-PK-TY-SAT-650MM-650MM,,,,,,,,4,cây,0,,,,,,,,19,2026-07-27T08:40:12.237576+00:00,2026-07-27T08:40:12.237576+00:00,,,650mm · Sắt,
TB0174HG-AL,Bàn xếp Santorin,4680e42c-e4ff-4974-8747-27351dbeb9f4,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,Eru 6 vành,VT-PK-ERU-6-VANH-6-VANH,,,,,,,,2,Con,0,,,,,,,,35,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6 vành,
