code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
OT000040HG-IR,O0040HG-IR,IR,Giường tắm nắng Everlee,ĐỀ XUẤT - cần duyệt,BKQC - O0018HG-IR Giường tắm nắng Everlee - Sắt.xlsx
OT000041HG-IR,O0041HG-IR,IR,nhà lều,ĐỀ XUẤT - cần duyệt,BKQC -Nhà lều Phi 37 - 4x6 mét.xlsx
OT000042HG-IR,O0042HG-IR,IR,Lều sắt 2 giường,ĐỀ XUẤT - cần duyệt,BKQC-định mức nguyên liệu-Lều sắt 2 giường.xlsx
OT000043HG-AL,O0043HG-AL,AL,095-DAYBED,ĐỀ XUẤT - cần duyệt,QCBG- GIGA DAYBED 095-096-097.xlsx
OT000044HG-AL,O0044HG-AL,AL,096-DAYBED,ĐỀ XUẤT - cần duyệt,QCBG- GIGA DAYBED 095-096-097.xlsx
OT000045HG-AL,O0045HG-AL,AL,097-DAYBED,ĐỀ XUẤT - cần duyệt,QCBG- GIGA DAYBED 095-096-097.xlsx
ST000001HG-IR,S0001HG-IR,IR,Chair,Từ file BOM,BKQC - S0001HG-IR  Coffee set.xlsx
ST000005HG-AL,S0005HG-AL,AL,"Sofa set (table + 2 bank I + bank III)
Table: Frame by alu + table top by dán giấy
Bank I + Bank II: Frame by alu + Armchair dán giấy",Từ file TỔNG HỢP,(chưa có file BOM)
ST000006HG-AL,S0006HG-AL,AL,"Sofa set (table + 2 bank I + bank III)
Table: Frame by alu + table top by dán giấy
Bank I + Bank II: Frame by alu + Armchair dán giấy",Từ file TỔNG HỢP,(chưa có file BOM)
ST000007HG-AL,S0007HG-AL,AL,"DINING SET
Bàn chữ nhật-Khung nhôm
Mặt bàn gỗ keo
Ghế đan dây Ø5",Từ file TỔNG HỢP,(chưa có file BOM)
ST000008HG-AL,S0008HG-AL,AL,"DINING SET
Bàn tròn-Khung nhôm
Mặt bàn gỗ keo
Ghế đan dây Ø5",Từ file TỔNG HỢP,(chưa có file BOM)
ST000012HG-AL,S0012HG-AL,AL,"Sofa set:
Table: Frame by alu + table top by polywood: 1pcs
Bank I: Frame by alu+arm rest PW: 2pcs
Bank II: Frame by alu+arm rest PW: 1pcs
Ottoman: Frame by alu: 1pcs",Từ file TỔNG HỢP,(chưa có file BOM)
ST000014HG-AL,S0014HG-AL,AL,"Sofa set
     Table
     Corner sofa
     Left sofa
     Right sofa",Từ file TỔNG HỢP,(chưa có file BOM)
ST000023HG-IR,S0023HG-IR,IR,Sofa set - Table,Từ file BOM,BKQC - S0023HG-IR  Sofa set.xlsx
ST000026HG-IR,S0026HG-IR,IR,Bàn,Từ file BOM,BKQC - S0026HG-IR  Sofa Set - Đan mây.xlsx
ST000027HG-AL,S0027HG-AL,AL,,Từ file BOM,BKQC - S0027HG-AL  Bộ bancony góc nhôm lưới.xlsx
ST000028HG-AL,S0028HG-AL,AL,Sofa fits bed Set - ES151L,Từ file BOM,BKQC - S0028HG-AL  Sofa fits bed Set mới 15.08.xlsx
ST000029HG-AL,S0029HG-AL,AL,ghế,Từ file BOM,BKQC - S0029HG-AL - Licosa Set  nan Polywood.xlsx
ST000030HG-IR,S0030HG-IR,IR,Sofa set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000031HG-AL,S0031HG-AL,AL,Armless,Từ file BOM,BKQC - S0031HG-AL  Nolan 6PC Deep Seating.xlsx
ST000032HG-AL,S0032HG-AL,AL,Long  - Left Arm Chair,Từ file BOM,BKQC - S0032HG-AL -KS - Westport 6pc Deep Seating.xlsx
ST000033HG-AL,S0033HG-AL,AL,Sofa set - Southdale,Từ file TỔNG HỢP,(chưa có file BOM)
ST000034HG-AL,S0034HG-AL,AL,3-seater,Từ file BOM,BKQC - S0034HG-AL - KS - Holbrook 6 PC  Conversation Set.xlsx
ST000035HG-IR,S0035HG-IR,IR,Sofa Set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000037HG-AL,S0037HG-AL,AL,Dining chair,Từ file BOM,BKQC - S0037HG-AL Dining set.xlsx
ST000040HG-AL,S0040HG-AL,AL,Kimora coffee Footrest,Từ file BOM,BKQC - S0040HG-AL RM Kimora coffee set.xlsx
ST000041HG-AL,S0041HG-AL,AL,Kimora Corner  Corner,Từ file BOM,BKQC - S0041HG-AL RM Kimora  Corner set .xlsx
ST000042HG-AL,S0042HG-AL,AL,Kimora lounge Lounge chair,Từ file BOM,BKQC - S0042HG-AL RM Kimora  lounge set .xlsx
ST000043HG-AL,S0043HG-AL,AL,Éclat Bank I,Từ file BOM,BKQC - S0043HG-AL - GIGA- ÉCLAT SOFA.xlsx
ST000044HG-AL,S0044HG-AL,AL,U_STYLE Bank I,Từ file BOM,BKQC - S0044HG-IR - GIGA - Bộ ghế ngoài trời chất lượng cao.xlsx
ST000044HG-IR,S0044HG-IR,IR,U_STYLE Table,Từ file BOM,BKQC - S0044HG-IR - GIGA - Bộ ghế ngoài trời chất lượng cao.xlsx
ST000045HG-AL,S0045HG-AL,AL,RIVA Large Bank left+right,Từ file BOM,BKQC - S0046HG-IR - Deuba - Large sofa riva.xlsx
ST000045HG-IR,S0045HG-IR,IR,RIVA Bank left+right,Từ file BOM,BKQC - S0045HG-IR - Deuba - Small sofa riva.xlsx
ST000047HG-AL,S0047HG-AL,AL,"Bàn khung nhôm, kính sơn
Bank I - khung nhôm
Bank II - khung nhôm
Bank III - khung nhôm
Nệm D20 Vải polyester 250gr, UV500h",Từ file TỔNG HỢP,(chưa có file BOM)
ST000048HG-AL,S0048HG-AL,AL,Corner sofa with tapered leg,Từ file TỔNG HỢP,(chưa có file BOM)
