code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
TB000013HG-IR,T0013HG-IR,IR,"Bàn chữ nhật-Khung sắt
Mặt bàn gỗ keo",Từ file TỔNG HỢP,(chưa có file BOM)
TB000014HG-IR,T0014HG-IR,IR,"Bàn tròn-Khung sắt
Mặt bàn gỗ keo",Từ file TỔNG HỢP,(chưa có file BOM)
TB000018HG-AL,T0018HG-AL,AL,Bàn lưới 140x80,Từ file BOM,BKQC - T0018HG-AL   Bàn lưới 140x80.xlsx
TB000019HG-IR,T0019HG-IR,IR,Bàn vuông,Từ file BOM,BKQC - T0019HG-IR Bàn vuông.xlsx
TB000020HG-AL,T0020HG-AL,AL,Bàn đá 65,Từ file BOM,"BKQC - T0020HG-AL  Ban da 1225,610x685x750.xlsx"
TB000021HG-AL,T0021HG-AL,AL,Bàn CN 220x100x75  nan Polywood,Từ file TỔNG HỢP,(chưa có file BOM)
TB000022HG-AL,T0022HG-AL,AL,Bàn KZ 685x605(1210)x750 - Mặt gạch vân gỗ,Từ file TỔNG HỢP,(chưa có file BOM)
TB000023HG-AL,T0023HG-AL,AL,Bàn bancony KG,Từ file BOM,BKQC - T0023HG-AL  Bàn bancony 1200-800 x 800 x 750.xlsx
TB000025HG-IR,T0025HG-IR,IR,High Dining Table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000026HG-IR,T0026HG-IR,IR,Slat Top Dining Table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000027HG-AL,T0027HG-AL,AL,Table,Từ file BOM,BKQC - T0027HG-AL  Table (1).xlsx
TB000028HG-AL,T0028HG-AL,AL,Table: Frame by alu + table top by  poly wood,Từ file TỔNG HỢP,(chưa có file BOM)
TB000029HG-AL,T0029HG-AL,AL,Square table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000030HG-AL,T0030HG-AL,AL,Bàn 180(240)x100 nan Polywood,Từ file BOM,BKQC -T0030HG-AL  Bàn 180(240)x100 nan Polywood.xlsx
TB000031HG-IR,T0031HG-IR,IR,Table,Từ file BOM,BKQC - T0031HG-IR  Table.xlsx
TB000033HG-IR,T0033HG-IR,IR,Round Table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000034HG-IR,T0034HG-IR,IR,Square Table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000036HG-AL,T0036HG-AL,AL,Bàn kéo dãn nan nhôm,Từ file BOM,BKQC-T0036HG-AL Bàn kéo dãn nan nhôm.xlsx
TB000037HG-IR,T0037HG-IR,IR,Coffee table,Từ file TỔNG HỢP,(chưa có file BOM)
TB000038HG-IR,T0038HG-IR,IR,Coffee table KD top.,Từ file TỔNG HỢP,(chưa có file BOM)
TB000041HG-AL,T0041HG-AL,AL,Bàn kéo dãn nan gỗ,Từ file BOM,BKQC - DINING SET - Ghỗ bạch đàn.xlsx
TB000043HG-AL,T0043HG-AL,AL,Bàn Rosarito Brown+Black,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
TB000046HG-AL,T0046HG-AL,AL,Bàn nhôm kính Grey,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
TB000047HG-AL,T0047HG-AL,AL,Bàn nhôm Polywood Natural,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
TB000048HG-AL,T0048HG-AL,AL,Bàn nhôm kính màu grey,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
TB000049HG-AL,T0049HG-AL,AL,Bàn nhôm vuông,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
TB000050HG-AL,T0050HG-AL,AL,Bàn nan nhôm,Từ file TỔNG HỢP,(chưa có file BOM)
TB000056HG-AL,T0056HG-AL,AL,Table ceramic,Từ file TỔNG HỢP,(chưa có file BOM)
TB000057HG-AL,T0057HG-AL,AL,"Bàn CNKG 150(200)x90x75 cm, khung nhôm
Mặt bàn bằng nan Polywood",Từ file TỔNG HỢP,(chưa có file BOM)
TB000058HG-AL,T0058HG-AL,AL,Bàn đen nan Nhôm,Từ file BOM,BKQC -T0058HG-AL -Table 25082025.xlsx
TB000059HG-AL,T0059HG-AL,AL,Bàn mở rộng,Từ file BOM,BKQC -T0059HG-AL -Bàn mở rộng 25082025 .xlsx
TB000060HG-AL,T0060HG-AL,AL,Bàn kéo dãn nan gỗ,Từ file BOM,BKQC-T0060HG-AL-Bàn kéo  dãn nan gỗ-Cũ.xlsx
TB000061HG-AL,T0061HG-AL,AL,Bàn kéo dãn nan gỗ,Từ file BOM,BKQC-T0061HG-AL-Bàn kéo  dãn nan gỗ.xlsx
TB000062HG-AL,T0062HG-AL,AL,Bàn kéo dãn nan gỗ nan ngang - R160,Từ file BOM,BKQC-T0062HG-AL-Bàn kéo  dãn nan gỗ-nan ngang R160.xlsx
TB000063HG-AL,T0063HG-AL,AL,Bàn kéo  dãn nan gỗ-nan ngang R50,Từ file TỔNG HỢP,(chưa có file BOM)
TB000064HG-AL,T0064HG-AL,AL,Bàn mở rộng nan gỗ bạch đàn,Từ file BOM,BKQC -T0064HG-AL - Bàn mở rộng Nan gỗ bạch đàn 27082025.xlsx
TB000065HG-AL,T0065HG-AL,AL,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000066HG-IR,T0066HG-IR,IR,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000067HG-AL,T0067HG-AL,AL,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000068HG-IR,T0068HG-IR,IR,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000069HG-AL,T0069HG-AL,AL,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000070HG-IR,T0070HG-IR,IR,,Từ file TỔNG HỢP,(chưa có file BOM)
TB000072HG-AL,T0072HG-AL,AL,COFFE TABLE,Từ file TỔNG HỢP,(chưa có file BOM)
TB000073HG-IR,T0073HG-IR,IR,COFFE TABLE,Từ file TỔNG HỢP,(chưa có file BOM)
TB000074HG-AL,T0074HG-AL,AL,COFFE TABLE,Từ file TỔNG HỢP,(chưa có file BOM)
TB000075HG-IR,T0075HG-IR,IR,COFFE TABLE,Từ file TỔNG HỢP,(chưa có file BOM)
TB000076HG-AL,T0076HG-AL,AL,Table,Từ file BOM,BKQC - T0076HG-AL - Bàn nhôm kính CC-69969.00.xlsx
TB000077HG-IR,T0077HG-IR,IR,Bàn GTN,Từ file BOM,F-BKQC - T0077HG-IR - Outdoor Side Table 27.09 - Copy.xlsx
TB000078HG-IR,T0078HG-IR,IR,FOLDING SLAT SQ TABLE POWER COATING RAL 7009,Từ file BOM,T0078HG-IR-STS FOLDING SLAT SQ TABLE.xlsx
TB000080HG-IR,T0080HG-IR,IR,FOLD RD STL GLASS TABLE POWER COATING RAL 7009,Từ file BOM,T0080HG-IR-FOLD RD STL GLASS TABLE.xlsx
TB000082HG-AL,T0082HG-AL,AL,Sorley Dinning Table,Từ file BOM,BKQC -T0082HG-AL -  180cm Dining Table Brief.xlsx
TB000083HG-AL,T0083HG-AL,AL,Bàn kéo dãn nan gỗ dọc - R60,Từ file BOM,T0083HG-AL-Bàn kéo  dãn nan gỗ nan dọc góc R60-240-180 x 100 x 75 cm.xlsx
TB000084HG-AL,T0084HG-AL,AL,Sorley Coffe Table,Từ file BOM,BKQC -T0082HG-AL -coffe Table Brief.xlsx
TB000085HG-IR,T0085HG-IR,IR,COFFEE TABLE-SENERITY,Từ file TỔNG HỢP,(chưa có file BOM)
TB000087HG-IR,T0087HG-IR,IR,Bàn tròn tấm sắt,Từ file TỔNG HỢP,(chưa có file BOM)
TB000088HG-AL,T0088HG-AL,AL,Bàn kéo dãn nan gỗ nan ngang - R50,Từ file TỔNG HỢP,(chưa có file BOM)
TB000089HG-AL,T0089HG-AL,AL,Bàn kéo dãn nan gỗ nan dọc - R50,Từ file TỔNG HỢP,(chưa có file BOM)
TB000091HG-AL,T0091HG-AL,AL,Coffee table-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
TB000092HG-AL,T0092HG-AL,AL,Bàn tròn gỗ teck,Từ file BOM,BKQC - T0092HG-AL - GD101463 Brisbane round table.xlsx
TB000092HG-IR,T0092HG-IR,IR,Coffee table-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
TB000097HG-AL,T0097HG-AL,AL,Bàn KZ nan gạch vân ghỗ,Từ file BOM,BKQC -T0097HG-AL - Bàn KZ nan gạch vân ghỗ.xlsx
TB000098HG-AL,T0098HG-AL,AL,"Bàn CN 150x90 cm, Khung nhôm , gỗ keo",ĐỀ XUẤT - cần duyệt,"BKQC - 21604-217 Bàn CN 150x90 cm, Khung nhôm , gỗ keo.xlsx"
TB000099HG-AL,T0099HG-AL,AL,Bàn CN 150x90 nan nhôm 10x86,ĐỀ XUẤT - cần duyệt,BKQC - 21670-217 Bàn 150x90 nan nhôm.xlsx
TB000100HG-AL,T0100HG-AL,AL,Coffee Table,ĐỀ XUẤT - cần duyệt,BKQC - Aluminum sofa.xlsx
TB000101HG-AL,T0101HG-AL,AL,Side Table,ĐỀ XUẤT - cần duyệt,BKQC - Aluminum sofa.xlsx
TB000102HG-AL,T0102HG-AL,AL,Bàn CN 150x90 nan Tre,ĐỀ XUẤT - cần duyệt,BKQC - Bàn 150x90 Nan tre.xlsx
TB000103HG-XX,T0103HG-XX,XX,Bàn KZ Tilos (21605-217) 150-200x90x74 Nan tre,ĐỀ XUẤT - cần duyệt,BKQC - Bàn KZ Tilos (21605-217) 150-200x90x74 Nan tre.xlsx
TB000104HG-XX,T0104HG-XX,XX,Bàn Lớn ( 1 cái/bộ),ĐỀ XUẤT - cần duyệt,BKQC - Bộ 170 asley - cập nhật 26-03-2025.xlsx
TB000105HG-AL,T0105HG-AL,AL,Bàn CN 185x90x75  Mặt đá vân ghỗ,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay - Ban CN.xlsx
TB000106HG-AL,T0106HG-AL,AL,Dining Chair,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay - Ban CN.xlsx
TB000107HG-AL,T0107HG-AL,AL,Ghế xoay vải,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay - Ban CN.xlsx
TB000108HG-AL,T0108HG-AL,AL,Bàn CN 185x90x75  Mặt đá vân ghỗ,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay.xlsx
TB000109HG-AL,T0109HG-AL,AL,LARGE COCKTAIL TABLE 94 x H33.5 cm,ĐỀ XUẤT - cần duyệt,BKQC - HARLOWE SOFA  kê profile HG.xlsx
TB000110HG-AL,T0110HG-AL,AL,Bàn KZ nan gạch vân ghỗ,ĐỀ XUẤT - cần duyệt,BKQC - KZ INOX nan gạch vân ghỗ.xlsx
TB000111HG-AL,T0111HG-AL,AL,LARGE COCKTAIL TABLE  ∅94 x H33.5 cm,ĐỀ XUẤT - cần duyệt,BKQC - LARGE COCKTAIL TABLE  ∅94 x H33.5 cm.xlsx
TB000112HG-AL,T0112HG-AL,AL,ROUND TABLE D54xH56 CM,ĐỀ XUẤT - cần duyệt,BKQC - ROUND TABLE D54xH56 CM.xlsx
TB000113HG-AL,T0113HG-AL,AL,SMALL COCKTAIL TABLE,ĐỀ XUẤT - cần duyệt,BKQC - SMALL COCKTAIL TABLE (D69 X W69 X H 42.5) CM.xlsx
TB000114HG-XX,T0114HG-XX,XX,Coffee Table,ĐỀ XUẤT - cần duyệt,BKQC - Sofa ghỗ đan dây.xlsx
TB000115HG-IR,T0115HG-IR,IR,Bàn vuông kính khung sắt,ĐỀ XUẤT - cần duyệt,BKQC -FTS81690 Bàn.xlsx
TB000116HG-AL,T0116HG-AL,AL,Bàn lớn,ĐỀ XUẤT - cần duyệt,BKQC -T0104HG-IR Bàn tròn 3 chân.xlsx
TB000117HG-AL,T0117HG-AL,AL,Bàn nhỏ,ĐỀ XUẤT - cần duyệt,BKQC -T0104HG-IR Bàn tròn 3 chân.xlsx
TB000118HG-IR,T0118HG-IR,IR,Table,ĐỀ XUẤT - cần duyệt,BKQC -TABLE_FTS61754.xlsx
TB000119HG-XX,T0119HG-XX,XX,Bàn CNKG,ĐỀ XUẤT - cần duyệt,BKQC-.xlsx
