ma_san_pham,nhom,ten_chi_tiet,dang,day,rong,day_thanh,ly_do
T0004HG-AL,KHUNG,Gạch vân gỗ MC 1,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0004HG-AL,KHUNG,Gạch vân gỗ MC 2,,10.0,97.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0004HG-AL,KHUNG,Gạch vân gỗ MP 1,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0004HG-AL,KHUNG,Gạch vân gỗ MP 2,,10.0,97.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0006HG-AL,KHUNG,Ắc ren tròn,,16.0,16.0,3.5,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0007HG-AL,KHUNG,Nan mặt bàn,,10.0,70.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0007HG-AL,KHUNG,LK nan bàn,,15.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0020HG-AL,KHUNG,Gạch vân gỗ,,10.0,200.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0076HG-AL,KHUNG,Chân,Hộp PGP,30.0,60.0,1.1,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0076HG-AL,KHUNG,Diềm ngắn,Hộp PGP,30.0,60.0,1.1,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0076HG-AL,KHUNG,Kính,,5.0,878.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0063HG-IR,KHUNG,Khung mê ngồi,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0062HG-IR,KHUNG,Khung mê ngồi,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0061HG-IR,KHUNG,Khung mê ngồi,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 1,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 2,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 1,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 2,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Mê trước,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,khung mê,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Dọc giữ mê,,20.0,20.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 1,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 2,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 1,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 2,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Mê trước,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,khung mê,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Dọc giữ mê,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 1,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Chân 2,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 1,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Tay + tựa 2,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Mê trước,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,khung mê,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0060HG-IR,KHUNG,Dọc giữ mê,,20.0,20.0,0.8,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0103HG-AL,KHUNG,Chân Trước +sau,Profile,20.0,98.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0115HG-IR,KHUNG,Kính,,5.0,1105.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0011HG-AL,KHUNG,Dọc Giường (25x80),Hình,1.2,200.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0082HG-AL,KHUNG,Mặt bàn,,5.0,868.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0082HG-AL,KHUNG,Mặt bàn,,5.0,868.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0083HG-AL,KHUNG,Mặt bàn,,5.0,868.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0083HG-AL,KHUNG,Mặt bàn,,5.0,868.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0084HG-AL,KHUNG,Mặt bàn,,5.0,468.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0084HG-AL,KHUNG,Mặt bàn,,5.0,868.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0097HG-AL,KHUNG,Gạch vân gỗ MC,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0097HG-AL,KHUNG,Gạch vân gỗ MP,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0118HG-IR,KHUNG,Viền bàn ngắn,Profile,22.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0118HG-IR,KHUNG,Viền bàn dài,Profile,22.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Giang mê,Oval,570.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Dọc mê,Oval,9.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Dọc tựa,Oval,72.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Bạ nẹp,Móc,4.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Giang tựa đầu,Oval,583.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Giang tựa lưng,Tròn,19.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Ắc sao tựa,Tròn,-2.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Vải mê,,1.0,425.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Vải tựa,,1.0,390.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0158HG-AL,KHUNG,Bịt chân,Nửa tròn,25.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0013HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0013HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0013HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0013HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0020HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0020HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0020HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0020HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0108HG-AL,KHUNG,Cụm bọc mê tựa,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0076HG-IR,KHUNG,Kinh cường lực,,5.0,1000.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0076HG-IR,KHUNG,Tay vịn,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0076HG-IR,KHUNG,Dây,,1.0,45.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0080HG-IR,KHUNG,Kinh cường lực,,5.0,1100.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0080HG-IR,KHUNG,Tay vịn,,15.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0080HG-IR,KHUNG,Dây,,1.0,45.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0036HG-AL,KHUNG,Nan bàn trái + phải,Khuôn mới,13.0,90.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0036HG-AL,KHUNG,Nan bàn giữa,Khuôn mới,13.0,90.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Chân,Shape D,70.0,80.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc biên khung trái + phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Ngang biên khung trái phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Bo góc R125,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Nan bàn khung trái+phải,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,LK nan khung trái + phải,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc biên khung giữa,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc giữa khung giữa,,25.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Nan bàn khung giữa,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,LK nan khung giữa,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Cùi chêm,,20.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Chân,Shape D,70.0,80.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc biên khung trái + phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Ngang biên khung trái phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc biên khung giữa,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Dọc giữa khung giữa,,25.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Nan bàn khung trái+phải,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Ngang biên khung giữa,,25.0,64.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,Nan bàn khung giữa,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,LK nan khung trái + phải,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0060HG-AL,KHUNG,LK nan khung giữa,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Chân,Shape D,70.0,80.0,1.2,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Dọc biên khung trái + phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Ngang biên khung trái phải,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Dọc biên khung giữa,,25.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Dọc giữa khung giữa,,25.0,40.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Nan bàn khung trái+phải,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Ngang biên khung giữa,,25.0,71.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,Nan bàn khung giữa,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,LK nan khung trái + phải,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0061HG-AL,KHUNG,LK nan khung giữa,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Khung giường,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Khung ngang trước + sau,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Khung dọc trái + phải,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Giằng khung,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Khung che,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Tựa đầu,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0042HG-IR,KHUNG,Khung nằm,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0077HG-AL,KHUNG,POLYWOOD,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Vải khung tay,,1.0,800.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Khung mê,,1.0,1200.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Khung tựa,,1.0,750.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trước ( tựa ),,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt sau ( tựa ),,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp 2 bên ( tựa ),,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trên ( tựa ),,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trước ( tay ),,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt sau ( tay ),,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp 2 bên ( tay ),,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trên ( tay ),,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trước ( tựa ),,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt sau ( tựa ),,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp 2 bên ( tựa ),,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trên ( tựa ),,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trước ( tay ),,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt sau ( tay ),,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp 2 bên ( tay ),,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0025HG-AL,KHUNG,Ốp mặt trên ( tay ),,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0027HG-AL,KHUNG,Mặt bàn phụ,,20.0,250.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0027HG-AL,KHUNG,Mặt bàn phụ,,20.0,250.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0031HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0031HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0031HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0031HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0031HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0032HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0032HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0032HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0032HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0089HG-IR,KHUNG,Mặt bàn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0087HG-AL,KHUNG,Dây dù,,5.0,5.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0087HG-AL,KHUNG,Dây dù,,5.0,5.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0078HG-IR,KHUNG,Viền bàn,Khuôn,23.0,30.0,1.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0080HG-IR,KHUNG,Viền bàn,Khuôn,23.0,30.0,1.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0080HG-IR,KHUNG,Mặt bàn tròn,,5.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0093HG-AL,KHUNG,Nhôm,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0093HG-AL,KHUNG,Sơn graphit,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0093HG-AL,KHUNG,option 2,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0093HG-AL,KHUNG,Sơn đen cát,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0094HG-AL,KHUNG,Bàn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0094HG-AL,KHUNG,Bàn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
