ma_san_pham,nhom,ten_chi_tiet,dang,day,rong,day_thanh,ly_do
B0031HG-AL,KHUNG,Nệm ngồi,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0031HG-AL,KHUNG,Gối,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0136HG-AL,KHUNG,Dọc mê,Oval,9.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0136HG-AL,KHUNG,Dọc Tựa,Oval,72.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0136HG-AL,KHUNG,Bạ nẹp lưới,Móc vải,4.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0136HG-AL,KHUNG,Tựa đầu + Tựa lưng,Móc vải,4.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0136HG-AL,KHUNG,Đố trước + đố sau,Móc vải,4.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0140HG-IR,KHUNG,Đế chân,tròn,32.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0140HG-IR,KHUNG,Ghế,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0140HG-IR,KHUNG,Tẩy dầu phun  TD-226S (20kg/can),,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0140HG-IR,KHUNG,Nano Phosphat  NCP-01.KT (25kg/can),,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0102HG-AL,KHUNG,Nan bàn,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0102HG-AL,KHUNG,LK nan,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Nan ngang ngoài MC,,24.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Nan dọc ngoài MC,,24.0,46.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Nan dọc giữa MC,,12.0,46.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Bổ nan MC,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Bọ lót MC,,12.0,46.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Nan dọc ngoài MP,,24.0,46.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Nan dọc giữa MP,,12.0,46.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Bổ nan MP 1,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0103HG-XX,KHUNG,Bổ nan MP 2,,12.0,30.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0049HG-XX,KHUNG,Chống góc dưới,Tròn,22.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0049HG-XX,KHUNG,Giằng giữa tựa,Tròn,19.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
